x  area  M  p  T  rho  u
0.0  0.0016129  0.2395640322527227  6625.166519973149  98.86759722755  0.23372578741847522  47.708799739927485
0.00254  0.0016119451930845879  0.23971630796419632  6624.832101290116  98.866173503986  0.23371735523774126  47.738781477830955
0.00508  0.0016090845405250362  0.24017373974467338  6623.826370151594  98.86189148652142  0.2336919955557734  47.828841843514994
0.00762  0.0016043293320100907  0.24093814488104376  6622.141873535587  98.85471850492584  0.23364951822584884  47.97932685124997
0.01016  0.0015976983341753107  0.24201256334854349  6619.7660969274  98.84459967403222  0.2335896039033838  48.190815050123774
0.012700000000000001  0.001589217716539736  0.24340127456007202  6616.681324058835  98.83145723545736  0.2335118003656821  48.46412030286647
0.01524  0.0015789209482267481  0.24510982081890015  6612.86443846789  98.81518962377969  0.23341551729936041  48.800295656920696
0.01778  0.0015668486658767327  0.24714503746959404  6608.286664834287  98.79567024489828  0.2333000194955962  49.20063828604734
0.02032  0.001553048513272824  0.24951508972747607  6602.913247511669  98.77274595074208  0.23316441837690813  49.66669547099391
0.022860000000000002  0.00153757495331266  0.2522295161419373  6596.703063189752  98.74623519093602  0.2330076617634525  50.200271575147966
0.025400000000000002  0.0015204890530682057  0.25529927861027646  6589.608164203221  98.71592581849897  0.2328285217722716  50.803435954835585
0.027940000000000003  0.001501858242781921  0.25873681880278404  6581.5732486885445  98.68157252320286  0.23262558073015016  51.478531723061735
0.03048  0.0014817560497503983  0.2625561207823012  6572.535053618881  98.64289386296268  0.23239721497063973  52.22818525896731
0.03302  0.0014602618081457147  0.2667727794974587  6562.421666776285  98.59956886068987  0.23214157637957783  53.05531632186716
0.03556  0.0014374603459196985  0.27140407469249567  6551.151754024063  98.55123313162763  0.23185657155268713  53.963148587054114
0.0381  0.001413441650026759  0.27646904960133256  6538.633698916556  98.49747450457157  0.23153983843573844  54.95522036905283
0.04064  0.001388300511286487  0.2819885935718429  6524.764652851198  98.43782809993107  0.2311887203350602  56.035395234963474
0.04318  0.0013621361502875967  0.2879855274895483  6509.429495784156  98.37177082880022  0.2308002372174821  57.20787213410006
0.045720000000000004  0.0013350518258095916  0.2944846905288816  6492.499710187698  98.29871528071864  0.23037105426858293  58.477194578361186
0.048260000000000004  0.001307154427307535  0.3015130263446784  6473.832174660831  98.21800297443136  0.2298974477520165  59.848258298742415
0.050800000000000005  0.0012785540530682058  0.3090996663163307  6453.267888695217  98.12889695673424  0.22937526831753674  61.326316675340834
0.053340000000000005  0.0012493635757024582  0.31727600686187774  6430.6306468760695  98.03057375069167  0.22879990204934972  62.91698308970131
0.055880000000000006  0.0012196981966885944  0.32607577714023245  6405.725689634917  97.92211467768247  0.22816622973913256  64.62622917870313
0.05842000000000001  0.0011896749917247598  0.3355350926500335  6378.338368974977  97.80249660970226  0.22746858512030751  66.46037777878259
0.06096  0.0011594124486846485  0.3456924893107505  6348.23288177407  97.67058225123009  0.2267007131235937  68.42608914023586
0.0635  0.00112903  0.35658893157960225  6315.151140720102  97.52511010609072  0.22585572962036288  70.5303387682043
0.06604  0.0010986475513153511  0.3682677870302067  6278.811873935783  97.36468435655723  0.22492608462060917  72.78038501766781
0.06858  0.00106838500827524  0.3807747586227543  6238.910068998325  97.18776497181052  0.22390353149417838  75.18372434683484
0.07112  0.0010383618033114053  0.3941577646763415  6195.116905118466  96.99265847275203  0.22277910548905427  77.74803193501687
0.07366  0.0010086964242975414  0.4084667553809195  6147.080347963324  96.77750991112079  0.2215431156209146  80.48108522284748
0.0762  0.000979505946931794  0.42375345365761524  6094.426613493889  96.5402967723697  0.22018515488054358  83.39066786839467
0.07874  0.0009509055726924647  0.4400710074253079  6036.762737731496  96.27882568079825  0.21869413460508852  86.48445167540521
0.08128  0.0009230081741904082  0.45747354003065877  5973.680514754326  95.99073296537024  0.21705834971149615  89.7698542919941
0.08382  0.0008959238497124027  0.4760155859609144  5904.762080085557  95.67349032387932  0.21526558218512604  93.25387095988329
0.08636  0.0008697594887135126  0.4957514002326603  5829.587413903451  95.32441698377843  0.21330325060025648  96.94287938061952
0.0889  0.0008446183499732409  0.5167341323089696  5747.744009518544  94.94069987475548  0.21115861332401786  100.84241791895667
0.09144000000000001  0.0008205996540803014  0.5390148593179098  5658.838887568509  94.51942336779035  0.20881903218406142  104.95693893564822
0.09398000000000001  0.0007977981918542853  0.5626414789693602  5562.513025601344  94.05761005749731  0.20627230150365328  109.28954105691159
0.09652000000000001  0.0007763039502496014  0.587657470051847  5458.458108178726  93.55227382393497  0.20350704427783958  113.84168662616847
0.09906000000000001  0.0007562017572180787  0.6141005377441002  5346.435280772267  93.00048596218038  0.20051317269674646  118.61291336114061
0.10160000000000001  0.0007375709469317942  0.6420011719807756  5226.295315660728  92.39945447704532  0.19728240416846715  123.60055218783977
0.10414000000000001  0.0007204850466873397  0.6713811592559701  5097.999284994011  91.74661569066285  0.19380881662557797  128.79946607718395
0.10668000000000001  0.0007050114867271757  0.7022521006714353  4961.638514247757  91.0397361198943  0.19008941868816875  134.20182710757877
0.10922000000000001  0.0006912113341232672  0.7346140005206585  4817.452302139286  90.27702121228229  0.18612470202801015  139.79695047930258
0.11176000000000001  0.0006791390517732517  0.7684539987269378  4665.841696388893  89.45722610197912  0.18191913620470784  145.5712043469518
0.11430000000000001  0.000668842283460264  0.8037453253491896  4507.377569019116  88.5797622334268  0.17748156174281698  151.50801269507863
0.11684000000000001  0.0006603616658246893  0.8404465545382204  4342.801393793043  87.64479271393  0.1728254367420447  157.58796478475355
